Description,Type,Location
kernel BUG in f2fs_evict_inode,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/93753f3d7bb0064f8647c172fac834c92e49e156
kernel BUG in jfs_evict_inode,Syz reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/4d29c05a745169575292085f4324f8fc89f0c326
KASAN: slab-use-after-free Read in hci_conn_hash_flush,Syz reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/d4394c45538b1c63110045a196abef2976dafb88
KASAN: null-ptr-deref Read in filemap_fault,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/1d55e6e301c3b6ab3bacc810af22ea3eb5d68e58
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
BUG: sleeping function called from invalid context in console_lock,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/24ff71d8c2cb5f4a4e181db4ad2f4d76bc8e3907
general protection fault in erofs_bread,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/8d90de82e0b594d61b54d60600579f1356796152
WARNING in udf_truncate_extents,C reproducer,/home/sanan/research/guild_bugs/rep_010722.config_f7ecac6a0927fba05321fd2997d33688ee547f21_05012023/crashes/8210ac00ca5f0c4ddeafdf60c76983a7901f9d40
UBSAN: array-index-out-of-bounds in f2fs_iget,C reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/2626127d0614bdde345c069645c2bf0c697de3e6
WARNING in floppy_queue_rq,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/b6d9a9d9a11e5e313e5963afaf8a0e80168bd778
WARNING in vma_merge,C reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/8768ab20e3a7997ed053146226d921e4d33eae52
KASAN: user-memory-access Write in zram_submit_bio,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/a5a61521a214777d2d60b154bbb8b1ee1c43dc6b
WARNING in _copy_from_iter,C reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/5ae29a0292a3a30d42fbb781181faeaed5c45f0a
WARNING in __floppy_read_block_0,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/562d1641ed735384a179ce7b456f0ce725b84460
WARNING in mark_buffer_dirty,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/36ee3cf62760d3dd70abb165b5f4c44efc22ef17
INFO: task hung in blkdev_put,Syz reproducer,/home/sanan/research/guild_bugs/rep_020119.config_3059785bb76e8df7d6585f9b9e2869bd1bd489f6_05102023/crashes/076fcdfbe8c43ded0e3049cc4a9b65e603eb41c8
