WARNING in _copy_from_iter,"tipc_msg_build+0x326/0x12b0
 __tipc_sendmsg+0xaee/0x18a0
I/O error, dev loop5, sector 0 op 0x0:(READ) flags 0x80700 phys_seg 1 prio class 2
 tipc_connect+0x629/0x700
 __sys_connect_file+0x16c/0x1c0
 __sys_connect+0x17c/0x1b0
 __x64_sys_connect+0x76/0xb0
 do_syscall_64+0x3f/0x90
 entry_SYSCALL_64_after_hwframe+0x72/0xdc",Group 1
WARNING in ieee80211_bss_info_change_notify,"ieee80211_ocb_leave+0x24d/0x3c0
 __cfg80211_leave_ocb+0x224/0x600
 cfg80211_leave_ocb+0x52/0x70
 cfg80211_change_iface+0xa39/0x1180
 nl80211_set_interface+0x695/0x980
 genl_family_rcv_msg_doit.isra.0+0x1e6/0x2d0
 genl_rcv_msg+0x4ff/0x7e0
 netlink_rcv_skb+0x165/0x440
 genl_rcv+0x28/0x40
 netlink_unicast+0x547/0x7f0
 netlink_sendmsg+0x926/0xe30
 sock_sendmsg+0xde/0x190
 ____sys_sendmsg+0x717/0x900
 ___sys_sendmsg+0x11d/0x1b0
 __sys_sendmsg+0xfe/0x1d0
 do_syscall_64+0x39/0x80
 entry_SYSCALL_64_after_hwframe+0x63/0xcd",Group 1
BUG: sleeping function called from invalid context in console_lock,"__dump_stack lib/dump_stack.c:88 [inline]
 dump_stack_lvl+0xd9/0x150 lib/dump_stack.c:106
 __might_resched+0x358/0x580 kernel/sched/core.c:10055
 console_lock+0x1b/0x80 kernel/printk/printk.c:2607
 do_con_write+0x10f/0x1e70 drivers/tty/vt/vt.c:2852
 con_write+0x25/0x40 drivers/tty/vt/vt.c:3244
 gsmld_write+0xcf/0x140 drivers/tty/n_gsm.c:3420
 do_tty_write drivers/tty/tty_io.c:1018 [inline]
 file_tty_write.constprop.0+0x472/0x9c0 drivers/tty/tty_io.c:1089
 call_write_iter include/linux/fs.h:1851 [inline]
 new_sync_write fs/read_write.c:491 [inline]
 vfs_write+0x9f3/0xe20 fs/read_write.c:584
 ksys_write+0x12b/0x250 fs/read_write.c:637
 do_syscall_x64 arch/x86/entry/common.c:50 [inline]
 do_syscall_64+0x39/0x80 arch/x86/entry/common.c:80
 entry_SYSCALL_64_after_hwframe+0x63/0xcd",Group 1
WARNING in get_floppy_geometry,"fd_locked_ioctl+0x1455/0x1950 drivers/block/floppy.c:3472
 fd_ioctl+0x39/0x60 drivers/block/floppy.c:3574
 blkdev_ioctl+0x375/0x7f0 block/ioctl.c:616
 vfs_ioctl fs/ioctl.c:51 [inline]
 __do_sys_ioctl fs/ioctl.c:870 [inline]
 __se_sys_ioctl fs/ioctl.c:856 [inline]
 __x64_sys_ioctl+0x197/0x210 fs/ioctl.c:856
 do_syscall_x64 arch/x86/entry/common.c:50 [inline]
 do_syscall_64+0x39/0x80 arch/x86/entry/common.c:80
 entry_SYSCALL_64_after_hwframe+0x63/0xcd",Group 1
KASAN: slab-use-after-free Read in hci_conn_hash_flush,"dump_stack_lvl+0x17f/0x270
 print_report+0xc5/0x5e0
 kasan_report+0xd7/0x110
 __asan_report_load8_noabort+0x18/0x20
 hci_conn_hash_flush+0x210/0x250
 hci_dev_close_sync+0x60c/0x1150
 hci_rfkill_set_block+0x17d/0x1c0
 rfkill_set_block+0x216/0x580
 rfkill_fop_write+0x2ce/0x570
 vfs_write+0x312/0xeb0
 ksys_write+0x228/0x290
 __x64_sys_write+0x76/0xb0
 do_syscall_64+0x3f/0x90
 entry_SYSCALL_64_after_hwframe+0x72/0xdc",Group 1
KASAN: slab-use-after-free Read in lbmIODone,"dump_stack_lvl+0x17f/0x270
 print_report+0xc5/0x5e0
 kasan_report+0xd7/0x110
 __asan_report_load4_noabort+0x18/0x20
 lbmIODone+0xcec/0xfe0
 bio_endio+0x73d/0x930
 blk_update_request+0x3f6/0x14d0
 blk_mq_end_request+0x57/0x90
 lo_complete_rq+0x1d5/0x290
 blk_complete_reqs+0xb9/0x100
 blk_done_softirq+0x4f/0x70
 __do_softirq+0x306/0xb22
 run_ksoftirqd+0xdc/0x190
 smpboot_thread_fn+0x687/0xaa0
 kthread+0x306/0x3d0
 ret_from_fork+0x2c/0x50",Group 1
INFO: task hung in hub_port_init,"context_switch kernel/sched/core.c:5301 [inline]
 __schedule+0xb2a/0x2f40 kernel/sched/core.c:6619
 schedule+0xe7/0x1b0 kernel/sched/core.c:6695
 usb_kill_urb.part.0+0x19a/0x220 drivers/usb/core/urb.c:728
 usb_kill_urb+0x83/0xa0 drivers/usb/core/urb.c:717
 usb_start_wait_urb+0x24a/0x4b0 drivers/usb/core/message.c:64
 usb_internal_control_msg drivers/usb/core/message.c:102 [inline]
 usb_control_msg+0x320/0x4a0 drivers/usb/core/message.c:153
 hub_port_init+0x14c1/0x3930 drivers/usb/core/hub.c:4875
 hub_port_connect drivers/usb/core/hub.c:5337 [inline]
 hub_port_connect_change drivers/usb/core/hub.c:5552 [inline]
 port_event drivers/usb/core/hub.c:5712 [inline]
 hub_event+0x2b8a/0x4e40 drivers/usb/core/hub.c:5794
 process_one_work+0x9ba/0x1820 kernel/workqueue.c:2390
 worker_thread+0x669/0x1090 kernel/workqueue.c:2537
 kthread+0x2e8/0x3a0 kernel/kthread.c:376
 ret_from_fork+0x1f/0x30 arch/x86/entry/entry_64.S:308",Group 1
INFO: task hung in addrconf_verify_work,"__schedule+0xd07/0x2f20
 schedule+0xe7/0x1b0
 schedule_preempt_disabled+0x13/0x20
 __mutex_lock+0xabd/0x1450
 addrconf_verify_work+0x12/0x30
 process_one_work+0x993/0x15e0
 worker_thread+0x67d/0x10c0
 kthread+0x33e/0x440
 ret_from_fork+0x1f/0x30",Group 1
WARNING in _copy_from_iter,"copy_page_from_iter lib/iov_iter.c:487 [inline]
 copy_page_from_iter+0x9f/0x110 lib/iov_iter.c:476
 bio_copy_from_iter block/blk-map.c:55 [inline]
 bio_copy_user_iov block/blk-map.c:210 [inline]
 blk_rq_map_user_iov+0xb79/0x16f0 block/blk-map.c:661
 blk_rq_map_user block/blk-map.c:690 [inline]
 blk_rq_map_user_io+0x1dc/0x210 block/blk-map.c:723
 sg_start_req drivers/scsi/sg.c:1807 [inline]
 sg_common_write.constprop.0+0xdcd/0x1e00 drivers/scsi/sg.c:803
 sg_new_write.isra.0+0x51f/0xa90 drivers/scsi/sg.c:770
 sg_ioctl_common drivers/scsi/sg.c:935 [inline]
 sg_ioctl+0x993/0x2670 drivers/scsi/sg.c:1159
 vfs_ioctl fs/ioctl.c:51 [inline]
 __do_sys_ioctl fs/ioctl.c:870 [inline]
 __se_sys_ioctl fs/ioctl.c:856 [inline]
 __x64_sys_ioctl+0x197/0x210 fs/ioctl.c:856
 do_syscall_x64 arch/x86/entry/common.c:50 [inline]
 do_syscall_64+0x39/0x80 arch/x86/entry/common.c:80
 entry_SYSCALL_64_after_hwframe+0x63/0xcd
 ORIG_RAX: 0000000000000010",Group 1
WARNING in _copy_from_iter,"tipc_msg_build+0x2fa/0x1100
 __tipc_sendmsg+0xae9/0x18d0
 tipc_connect+0x5a9/0x680
 __sys_connect_file+0x153/0x1a0
 __sys_connect+0x165/0x1a0
 __x64_sys_connect+0x72/0xb0
 do_syscall_64+0x39/0x80
 entry_SYSCALL_64_after_hwframe+0x63/0xcd",Group 1
